"","game","round","date","home_team","score","away_team","arena","X"
"191","191","20","12/08/2017 - 16:00","373","1 x 0","294","Olímpico Pedro Ludovico - Goiania - GO",""
"192","192","20","12/08/2017 - 19:00","287","0 x 1","314","Manoel Barradas - Salvador - BA",""
"193","193","20","13/08/2017 - 11:00","276","3 x 2","283","Morumbi - Sao Paulo - SP",""
"194","194","20","13/08/2017 - 16:00","267","1 x 1","275","Raulino de Oliveira - Volta Redonda - RJ",""
"195","195","20","14/08/2017 - 20:00","277","0 x 0","266","Pacaembu - Sao Paulo - SP",""
"196","196","20","13/08/2017 - 16:00","282","2 x 0","262","Independência - Belo Horizonte - MG",""
"197","197","20","13/08/2017 - 19:00","293","4 x 1","265","Arena da Baixada - Curitiba - PR",""
"198","198","20","13/08/2017 - 19:00","263","1 x 0","284","Nilton Santos - Rio de Janeiro - RJ",""
"199","199","20","13/08/2017 - 16:00","292","0 x 0","303","Ilha do Retiro - Recife - PE",""
"200","200","20","23/08/2017 - 19:30","315","0 x 1","264","Arena Condá - Chapeco - SC",""
"201","201","21","19/08/2017 - 16:00","264","0 x 1","287","Arena Corinthians - Sao Paulo - SP",""
"202","202","21","19/08/2017 - 19:00","262","2 x 0","373","Luso Brasileiro - Rio de Janeiro - RJ",""
"203","203","21","20/08/2017 - 16:00","303","2 x 1","263","Moisés Lucarelli - Campinas - SP",""
"204","204","21","20/08/2017 - 16:00","283","2 x 0","292","Mineirão - Belo Horizonte - MG",""
"205","205","21","20/08/2017 - 16:00","265","3 x 0","267","Arena Fonte Nova - Salvador - BA",""
"206","206","21","20/08/2017 - 16:00","314","1 x 1","276","Ressacada - Florianopolis - SC",""
"207","207","21","20/08/2017 - 11:00","284","0 x 0","293","Arena do Grêmio - Porto Alegre - RS",""
"208","208","21","20/08/2017 - 19:00","275","0 x 2","315","Allianz Parque - Sao Paulo - SP",""
"209","209","21","20/08/2017 - 19:00","294","0 x 0","277","Couto Pereira - Curitiba - PR",""
"210","210","21","21/08/2017 - 20:00","266","2 x 1","282","Maracanã - Rio de Janeiro - RJ",""
"211","211","22","26/08/2017 - 16:00","266","0 x 1","267","Maracanã - Rio de Janeiro - RJ",""
"212","212","22","26/08/2017 - 19:00","264","0 x 1","373","Arena Corinthians - Sao Paulo - SP",""
"213","213","22","02/09/2017 - 16:00","284","5 x 0","292","Arena do Grêmio - Porto Alegre - RS",""
"214","214","22","27/08/2017 - 19:00","314","1 x 0","315","Ressacada - Florianopolis - SC",""
"215","215","22","27/08/2017 - 16:00","262","2 x 0","293","Luso Brasileiro - Rio de Janeiro - RJ",""
"216","216","22","27/08/2017 - 16:00","275","4 x 2","276","Allianz Parque - Sao Paulo - SP",""
"217","217","22","27/08/2017 - 16:00","265","1 x 2","263","Arena Fonte Nova - Salvador - BA",""
"218","218","22","27/08/2017 - 16:00","303","1 x 2","282","Moisés Lucarelli - Campinas - SP",""
"219","219","22","27/08/2017 - 19:00","283","1 x 1","277","Mineirão - Belo Horizonte - MG",""
"220","220","22","28/08/2017 - 20:00","294","0 x 1","287","Couto Pereira - Curitiba - PR",""
"221","221","23","09/09/2017 - 16:00","282","1 x 1","275","Independência - Belo Horizonte - MG",""
"222","222","23","09/09/2017 - 19:00","276","2 x 2","303","Morumbi - Sao Paulo - SP",""
"223","223","23","10/09/2017 - 11:00","293","1 x 1","294","Arena da Baixada - Curitiba - PR",""
"224","224","23","09/09/2017 - 18:00","267","1 x 0","284","São Januário - Rio de Janeiro - RJ",""
"225","225","23","10/09/2017 - 16:00","277","2 x 0","264","Vila Belmiro - 277",""
"226","226","23","10/09/2017 - 16:00","292","0 x 1","314","Ilha do Retiro - Recife - PE",""
"227","227","23","10/09/2017 - 16:00","287","2 x 2","266","Manoel Barradas - Salvador - BA",""
"228","228","23","10/09/2017 - 19:00","263","2 x 0","262","Nilton Santos - Rio de Janeiro - RJ",""
"229","229","23","10/09/2017 - 19:00","315","1 x 2","283","Arena Condá - Chapeco - SC",""
"230","230","23","11/09/2017 - 20:00","373","1 x 1","265","Olímpico Pedro Ludovico - Goiania - GO",""
"231","231","24","16/09/2017 - 21:00","303","1 x 3","373","Moisés Lucarelli - Campinas - SP",""
"232","232","24","16/09/2017 - 19:00","263","2 x 0","277","Nilton Santos - Rio de Janeiro - RJ",""
"233","233","24","18/09/2017 - 20:00","275","1 x 0","294","Pacaembu - Sao Paulo - SP",""
"234","234","24","17/09/2017 - 16:00","284","0 x 1","315","Arena do Grêmio - Porto Alegre - RS",""
"235","235","24","17/09/2017 - 16:00","262","2 x 0","292","Luso Brasileiro - Rio de Janeiro - RJ",""
"236","236","24","17/09/2017 - 16:00","264","1 x 0","267","Arena Corinthians - Sao Paulo - SP",""
"237","237","24","17/09/2017 - 16:00","287","1 x 2","276","Manoel Barradas - Salvador - BA",""
"238","238","24","17/09/2017 - 11:00","314","1 x 1","282","Ressacada - Florianopolis - SC",""
"239","239","24","17/09/2017 - 16:00","293","3 x 1","266","Arena da Baixada - Curitiba - PR",""
"240","240","24","17/09/2017 - 19:00","283","1 x 0","265","Mineirão - Belo Horizonte - MG",""
"241","241","25","23/09/2017 - 19:00","262","1 x 1","314","Luso Brasileiro - Rio de Janeiro - RJ",""
"242","242","25","23/09/2017 - 21:00","277","1 x 0","293","Vila Belmiro - 277",""
"243","243","25","24/09/2017 - 11:00","276","1 x 1","264","Morumbi - Sao Paulo - SP",""
"244","244","25","24/09/2017 - 16:00","266","0 x 1","275","Maracanã - Rio de Janeiro - RJ",""
"245","245","25","24/09/2017 - 16:00","294","2 x 3","263","Couto Pereira - Curitiba - PR",""
"246","246","25","24/09/2017 - 16:00","373","1 x 2","283","Olímpico Pedro Ludovico - Goiania - GO",""
"247","247","25","24/09/2017 - 16:00","315","1 x 0","303","Arena Condá - Chapeco - SC",""
"248","248","25","24/09/2017 - 19:00","282","1 x 3","287","Independência - Belo Horizonte - MG",""
"249","249","25","24/09/2017 - 19:00","265","1 x 0","284","Arena Fonte Nova - Salvador - BA",""
"250","250","25","25/09/2017 - 20:00","292","1 x 1","267","Ilha do Retiro - Recife - PE",""
"251","251","26","30/09/2017 - 16:00","267","1 x 1","315","São Januário - Rio de Janeiro - RJ",""
"252","252","26","30/09/2017 - 16:00","265","1 x 1","294","Arena Fonte Nova - Salvador - BA",""
"253","253","26","30/09/2017 - 19:00","275","0 x 1","277","Allianz Parque - Sao Paulo - SP",""
"254","254","26","01/10/2017 - 16:00","263","2 x 3","287","Nilton Santos - Rio de Janeiro - RJ",""
"255","255","26","01/10/2017 - 16:00","276","1 x 0","292","Morumbi - Sao Paulo - SP",""
"256","256","26","01/10/2017 - 16:00","283","1 x 1","264","Mineirão - Belo Horizonte - MG",""
"257","257","26","01/10/2017 - 16:00","314","0 x 2","373","Ressacada - Florianopolis - SC",""
"258","258","26","01/10/2017 - 16:00","284","1 x 0","266","Arena do Grêmio - Porto Alegre - RS",""
"259","259","26","01/10/2017 - 19:00","293","0 x 2","282","Arena da Baixada - Curitiba - PR",""
"260","260","26","02/10/2017 - 20:00","303","1 x 0","262","Moisés Lucarelli - Campinas - SP",""
"261","261","28","07/10/2017 - 16:00","283","2 x 1","303","Mineirão - Belo Horizonte - MG",""
"262","262","27","11/10/2017 - 19:30","263","2 x 1","315","Nilton Santos - Rio de Janeiro - RJ",""
"263","263","27","11/10/2017 - 19:30","293","2 x 2","373","Arena da Baixada - Curitiba - PR",""
"264","264","27","11/10/2017 - 21:00","264","3 x 1","294","Arena Corinthians - Sao Paulo - SP",""
"265","265","27","11/10/2017 - 21:45","282","1 x 0","276","Independência - Belo Horizonte - MG",""
"266","266","27","11/10/2017 - 21:45","284","0 x 1","283","Arena do Grêmio - Porto Alegre - RS",""
"267","267","27","11/10/2017 - 21:45","314","1 x 2","267","Ressacada - Florianopolis - SC",""
"268","268","27","12/10/2017 - 17:00","262","1 x 1","266","Maracanã - Rio de Janeiro - RJ",""
"269","269","27","12/10/2017 - 17:00","287","1 x 2","292","Manoel Barradas - Salvador - BA",""
"270","270","27","12/10/2017 - 17:00","303","1 x 1","277","Moisés Lucarelli - Campinas - SP",""
"271","271","27","12/10/2017 - 21:00","275","2 x 2","265","Pacaembu - Sao Paulo - SP",""
"272","272","28","14/10/2017 - 19:00","267","1 x 0","263","Maracanã - Rio de Janeiro - RJ",""
"273","273","28","14/10/2017 - 21:00","276","2 x 1","293","Pacaembu - Sao Paulo - SP",""
"274","274","28","15/10/2017 - 17:00","266","1 x 0","314","Maracanã - Rio de Janeiro - RJ",""
"275","275","28","15/10/2017 - 17:00","292","1 x 1","282","Ilha do Retiro - Recife - PE",""
"276","276","28","15/10/2017 - 17:00","373","1 x 3","275","Olímpico Pedro Ludovico - Goiania - GO",""
"277","277","28","15/10/2017 - 17:00","315","0 x 1","262","Arena Condá - Chapeco - SC",""
"278","278","28","15/10/2017 - 19:00","294","0 x 1","284","Couto Pereira - Curitiba - PR",""
"279","279","28","15/10/2017 - 19:00","265","2 x 0","264","Arena Fonte Nova - Salvador - BA",""
"280","280","28","16/10/2017 - 20:00","277","2 x 2","287","Pacaembu - Sao Paulo - SP",""
"281","281","29","18/10/2017 - 19:30","373","0 x 1","267","Serra Dourada - Goiania - GO",""
"282","282","29","18/10/2017 - 19:30","294","1 x 0","283","Couto Pereira - Curitiba - PR",""
"283","283","29","18/10/2017 - 21:00","282","2 x 3","315","Independência - Belo Horizonte - MG",""
"284","284","29","18/10/2017 - 21:45","264","0 x 0","284","Arena Corinthians - Sao Paulo - SP",""
"285","285","29","18/10/2017 - 21:45","266","3 x 1","276","Maracanã - Rio de Janeiro - RJ",""
"286","286","29","18/10/2017 - 21:45","314","1 x 1","263","Ressacada - Florianopolis - SC",""
"287","287","29","19/10/2017 - 20:00","275","2 x 0","303","Pacaembu - Sao Paulo - SP",""
"288","288","29","19/10/2017 - 20:00","287","2 x 3","293","Manoel Barradas - Salvador - BA",""
"289","289","29","19/10/2017 - 21:00","262","4 x 1","265","Luso Brasileiro - Rio de Janeiro - RJ",""
"290","290","29","19/10/2017 - 21:00","292","1 x 1","277","Ilha do Retiro - Recife - PE",""
"291","291","30","23/10/2017 - 20:00","263","2 x 1","264","Nilton Santos - Rio de Janeiro - RJ",""
"292","292","30","22/10/2017 - 17:00","276","2 x 0","262","Pacaembu - Sao Paulo - SP",""
"293","293","30","22/10/2017 - 17:00","283","1 x 3","282","Mineirão - Belo Horizonte - MG",""
"294","294","30","22/10/2017 - 17:00","284","1 x 3","275","Arena do Grêmio - Porto Alegre - RS",""
"295","295","30","21/10/2017 - 17:00","267","1 x 1","294","Maracanã - Rio de Janeiro - RJ",""
"296","296","30","22/10/2017 - 17:00","265","2 x 1","287","Arena Fonte Nova - Salvador - BA",""
"297","297","30","22/10/2017 - 17:00","277","1 x 0","373","Vila Belmiro - 277",""
"298","298","30","22/10/2017 - 19:00","303","1 x 2","314","Moisés Lucarelli - Campinas - SP",""
"299","299","30","22/10/2017 - 19:00","315","2 x 0","266","Arena Condá - Chapeco - SC",""
"300","300","30","22/10/2017 - 17:00","293","2 x 1","292","Arena da Baixada - Curitiba - PR",""
"301","301","31","28/10/2017 - 17:00","276","2 x 1","277","Pacaembu - Sao Paulo - SP",""
"302","302","31","28/10/2017 - 19:00","262","0 x 0","267","Maracanã - Rio de Janeiro - RJ",""
"303","303","31","28/10/2017 - 21:00","293","0 x 0","315","Arena da Baixada - Curitiba - PR",""
"304","304","31","29/10/2017 - 17:00","266","1 x 1","265","Maracanã - Rio de Janeiro - RJ",""
"305","305","31","29/10/2017 - 17:00","282","0 x 0","263","Independência - Belo Horizonte - MG",""
"306","306","31","29/10/2017 - 17:00","303","1 x 0","264","Moisés Lucarelli - Campinas - SP",""
"307","307","31","29/10/2017 - 18:00","292","3 x 4","294","Ilha do Retiro - Recife - PE",""
"308","308","31","29/10/2017 - 18:00","287","1 x 1","373","Manoel Barradas - Salvador - BA",""
"309","309","31","29/10/2017 - 19:00","314","2 x 2","284","Ressacada - Florianopolis - SC",""
"310","310","31","30/10/2017 - 20:00","275","2 x 2","283","Allianz Parque - Sao Paulo - SP",""
"311","311","32","04/11/2017 - 17:00","277","3 x 1","282","Vila Belmiro - 277",""
"312","312","32","04/11/2017 - 19:00","263","1 x 2","266","Nilton Santos - Rio de Janeiro - RJ",""
"313","313","32","04/11/2017 - 21:00","294","4 x 0","314","Couto Pereira - Curitiba - PR",""
"314","314","32","05/11/2017 - 17:00","264","3 x 2","275","Arena Corinthians - Sao Paulo - SP",""
"315","315","32","05/11/2017 - 17:00","284","3 x 1","262","Arena do Grêmio - Porto Alegre - RS",""
"316","316","32","05/11/2017 - 19:00","315","1 x 1","292","Arena Condá - Chapeco - SC",""
"317","317","32","05/11/2017 - 17:00","283","1 x 0","293","Mineirão - Belo Horizonte - MG",""
"318","318","32","05/11/2017 - 18:00","265","2 x 0","303","Arena Fonte Nova - Salvador - BA",""
"319","319","32","05/11/2017 - 19:00","267","1 x 1","287","Maracanã - Rio de Janeiro - RJ",""
"320","320","32","04/11/2017 - 19:00","373","0 x 1","276","Serra Dourada - Goiania - GO",""
"321","321","33","08/11/2017 - 19:30","314","1 x 2","265","Ressacada - Florianopolis - SC",""
"322","322","33","08/11/2017 - 19:30","303","0 x 1","284","Moisés Lucarelli - Campinas - SP",""
"323","323","33","08/11/2017 - 21:00","292","1 x 2","263","Ilha do Retiro - Recife - PE",""
"324","324","33","08/11/2017 - 21:00","293","0 x 1","264","Arena da Baixada - Curitiba - PR",""
"325","325","33","08/11/2017 - 21:45","262","2 x 0","283","Luso Brasileiro - Rio de Janeiro - RJ",""
"326","326","33","08/11/2017 - 21:45","277","1 x 2","267","Vila Belmiro - 277",""
"327","327","33","08/11/2017 - 21:45","287","3 x 1","275","Manoel Barradas - Salvador - BA",""
"328","328","33","09/11/2017 - 20:00","276","2 x 2","315","Pacaembu - Sao Paulo - SP",""
"329","329","33","09/11/2017 - 20:00","282","3 x 2","373","Independência - Belo Horizonte - MG",""
"330","330","33","09/11/2017 - 21:00","266","2 x 2","294","Maracanã - Rio de Janeiro - RJ",""
"331","331","34","11/11/2017 - 17:00","263","0 x 1","293","Nilton Santos - Rio de Janeiro - RJ",""
"332","332","34","11/11/2017 - 19:00","264","1 x 0","314","Arena Corinthians - Sao Paulo - SP",""
"333","333","34","12/11/2017 - 17:00","267","1 x 1","276","São Januário - Rio de Janeiro - RJ",""
"334","334","34","12/11/2017 - 17:00","275","2 x 0","262","Allianz Parque - Sao Paulo - SP",""
"335","335","34","12/11/2017 - 17:00","373","2 x 0","292","Olímpico Pedro Ludovico - Goiania - GO",""
"336","336","34","12/11/2017 - 17:00","284","1 x 1","287","Alfredo Jaconi - Caxias do Sul - RS",""
"337","337","34","12/11/2017 - 18:00","265","2 x 2","282","Arena Fonte Nova - Salvador - BA",""
"338","338","34","12/11/2017 - 19:00","283","3 x 1","266","Mineirão - Belo Horizonte - MG",""
"339","339","34","12/11/2017 - 19:00","294","1 x 1","303","Couto Pereira - Curitiba - PR",""
"340","340","34","13/11/2017 - 20:00","315","2 x 0","277","Arena Condá - Chapeco - SC",""
"341","341","35","15/11/2017 - 17:00","303","2 x 1","293","Moisés Lucarelli - Campinas - SP",""
"342","342","35","15/11/2017 - 19:30","284","1 x 0","276","Arena do Grêmio - Porto Alegre - RS",""
"343","343","35","15/11/2017 - 19:30","283","2 x 2","314","Mineirão - Belo Horizonte - MG",""
"344","344","35","15/11/2017 - 21:45","267","1 x 1","282","São Januário - Rio de Janeiro - RJ",""
"345","345","35","15/11/2017 - 21:45","264","3 x 1","266","Arena Corinthians - Sao Paulo - SP",""
"346","346","35","16/11/2017 - 20:00","263","1 x 2","373","Nilton Santos - Rio de Janeiro - RJ",""
"347","347","35","16/11/2017 - 20:00","275","5 x 1","292","Allianz Parque - Sao Paulo - SP",""
"348","348","35","16/11/2017 - 20:00","315","2 x 1","287","Arena Condá - Chapeco - SC",""
"349","349","35","16/11/2017 - 21:00","294","1 x 0","262","Couto Pereira - Curitiba - PR",""
"350","350","35","16/11/2017 - 21:00","265","3 x 1","277","Arena Fonte Nova - Salvador - BA",""
"351","351","36","20/11/2017 - 17:00","266","2 x 0","303","Maracanã - Rio de Janeiro - RJ",""
"352","352","36","19/11/2017 - 17:00","262","3 x 0","264","Luso Brasileiro - Rio de Janeiro - RJ",""
"353","353","36","19/11/2017 - 17:00","276","0 x 0","263","Pacaembu - Sao Paulo - SP",""
"354","354","36","19/11/2017 - 17:00","287","1 x 1","283","Manoel Barradas - Salvador - BA",""
"355","355","36","19/11/2017 - 17:00","373","1 x 1","315","Olímpico Pedro Ludovico - Goiania - GO",""
"356","356","36","19/11/2017 - 17:00","292","1 x 0","265","Ilha do Retiro - Recife - PE",""
"357","357","36","19/11/2017 - 19:00","282","3 x 0","294","Independência - Belo Horizonte - MG",""
"358","358","36","19/11/2017 - 19:00","277","1 x 0","284","Vila Belmiro - 277",""
"359","359","36","19/11/2017 - 19:00","293","3 x 1","267","Arena da Baixada - Curitiba - PR",""
"360","360","36","20/11/2017 - 20:00","314","2 x 1","275","Ressacada - Florianopolis - SC",""
"361","361","37","25/11/2017 - 17:00","266","1 x 2","292","Maracanã - Rio de Janeiro - RJ",""
"362","362","37","26/11/2017 - 17:00","284","1 x 1","373","Arena do Grêmio - Porto Alegre - RS",""
"363","363","37","26/11/2017 - 17:00","314","1 x 0","293","Ressacada - Florianopolis - SC",""
"364","364","37","26/11/2017 - 17:00","264","2 x 2","282","Arena Corinthians - Sao Paulo - SP",""
"365","365","37","26/11/2017 - 17:00","283","0 x 1","267","Mineirão - Belo Horizonte - MG",""
"366","366","37","26/11/2017 - 17:00","294","1 x 2","276","Couto Pereira - Curitiba - PR",""
"367","367","37","26/11/2017 - 17:00","303","2 x 3","287","Moisés Lucarelli - Campinas - SP",""
"368","368","37","26/11/2017 - 19:00","262","1 x 2","277","Luso Brasileiro - Rio de Janeiro - RJ",""
"369","369","37","26/11/2017 - 19:00","265","0 x 1","315","Arena Fonte Nova - Salvador - BA",""
"370","370","37","27/11/2017 - 20:00","275","2 x 0","263","Allianz Parque - Sao Paulo - SP",""
"371","371","38","03/12/2017 - 17:00","263","2 x 2","283","Nilton Santos - Rio de Janeiro - RJ",""
"372","372","38","03/12/2017 - 17:00","267","2 x 1","303","São Januário - Rio de Janeiro - RJ",""
"373","373","38","03/12/2017 - 17:00","277","1 x 1","314","Vila Belmiro - 277",""
"374","374","38","03/12/2017 - 17:00","276","1 x 1","265","Morumbi - Sao Paulo - SP",""
"375","375","38","03/12/2017 - 17:00","282","4 x 3","284","Independência - Belo Horizonte - MG",""
"376","376","38","03/12/2017 - 17:00","293","3 x 0","275","Arena da Baixada - Curitiba - PR",""
"377","377","38","03/12/2017 - 17:00","292","1 x 0","264","Ilha do Retiro - Recife - PE",""
"378","378","38","03/12/2017 - 17:00","287","1 x 2","262","Manoel Barradas - Salvador - BA",""
"379","379","38","03/12/2017 - 17:00","373","1 x 1","266","Olímpico Pedro Ludovico - Goiania - GO",""
"380","380","38","03/12/2017 - 17:00","315","2 x 1","294","Arena Condá - Chapeco - SC",""
